Date,Time,City,Location,Flood Type/Depth,Passability
2025/09/12,15:36,Quezon City,Elliptical East Ave.,Gutter Deep,Passable to all vehicles
2025/09/12,15:14,Quezon City,EDSA After Quezon Ave. Flyover NB,Gutter Deep,Passable to all vehicles
2025/09/12,15:14,Quezon City,Elliptical East Ave.,Gutter Deep,Passable to all vehicles
2025/09/12,15:14,Quezon City,EDSA Quezon Ave. service road NB,Gutter Deep,Passable to all vehicles
2025/09/12,14:54,Quezon City,EDSA Aurora Tunnel NB,Subsided,
2025/09/12,14:55,Quezon City,EDSA before Kamuning flyover SB,Subsided,
2025/09/12,14:50,Quezon City,EDSA After Quezon Ave. Flyover NB,Gutter Deep,Passable to all vehicles
2025/09/12,14:50,Quezon City,EDSA Aurora Tunnel NB,Gutter Deep,Passable to all vehicles
2025/09/12,14:50,Quezon City,Elliptical East Ave.,Gutter Deep,Passable to all vehicles
2025/09/11,21:13,Quezon City,N.S Amoranto,Knee Deep,Not passable to light vehicles
2025/09/11,19:30,Quezon City,Araneta Avenue,Subsided,
2025/09/11,19:47,Quezon City,N.S Amoranto,Knee Deep,Not passable to light vehicles
2025/09/11,19:47,Quezon City,Araneta Avenue,Gutter Deep,Passable to all vehicles
2025/09/11,17:48,Caloocan City,C3 NLEX Connector Int.,Subsided,
2025/09/11,17:25,Valenzuela City,Mc Arthur Highway Calle Uno NB,Subsided,
2025/09/11,17:58,Quezon City,N.S Amoranto,Knee Deep,Not passable to light vehicles
2025/09/11,17:58,Quezon City,Araneta Avenue,Gutter Deep,Passable to all vehicles
2025/09/11,16:51,Quezon City,EDSA Balintawak NB,Subsided,
2025/09/11,16:47,Quezon City,EDSA Oliveros NB,Subsided,
2025/09/11,17:18,Quezon City,Quezon Ave. Araneta tunnel EB/WB,Subsided,
2025/09/11,17:19,Quezon City,EDSA North Ave. NB,Subsided,
2025/09/11,17:24,Quezon City,EDSA After Quezon Ave. Flyover NB,Subsided,
2025/09/11,17:06,Caloocan City,EDSA Bagong Barrio SB,Subsided,
2025/09/11,17:58,Caloocan City,EDSA Bagong Barrio NB,Gutter Deep,Passable to all vehicles
2025/09/11,17:58,Caloocan City,C3 NLEX Connector Int.,Gutter Deep,Passable to all vehicles
2025/09/11,17:58,Valenzuela City,Mc Arthur Highway Calle Uno NB,Gutter Deep,Passable to all vehicles
2025/09/11,17:20,Quezon City,EDSA Balintawak NB,Gutter Deep,Passable to all vehicles
2025/09/11,17:20,Quezon City,EDSA Oliveros NB,Gutter Deep,Passable to all vehicles
2025/09/11,17:20,Quezon City,Quezon Ave. Araneta tunnel EB/WB,Gutter Deep,Passable to all vehicles
2025/09/11,17:20,Quezon City,EDSA North Ave. NB,Gutter Deep,Passable to all vehicles
2025/09/11,17:20,Quezon City,EDSA After Quezon Ave. Flyover NB,Gutter Deep,Passable to all vehicles
2025/09/11,17:20,Caloocan City,EDSA Bagong Barrio NB/SB,Gutter Deep,Passable to all vehicles
2025/09/11,17:20,Valenzuela City,Mc Arthur Highway Calle Uno NB,Gutter Deep,Passable to all vehicles
2025/09/11,16:12,Quezon City,EDSA Balintawak NB,Gutter Deep,Passable to all vehicles
2025/09/11,16:12,Quezon City,EDSA Oliveros NB,Gutter Deep,Passable to all vehicles
2025/09/11,16:12,Quezon City,Quezon Ave. Araneta tunnel EB/WB,Gutter Deep,Passable to all vehicles
2025/09/11,16:12,Quezon City,EDSA Bagong Barrio NB/SB,Gutter Deep,Passable to all vehicles
2025/09/11,16:12,Quezon City,EDSA North Ave. NB,Gutter Deep,Passable to all vehicles
2025/09/06,16:55,Parañaque City,Dr. A. Santos Ave. in front of SM Sucat,Subsided,
2025/09/06,16:55,Parañaque City,Dr. A. Santos Ave. near Paranaque National Highschool,Gutter Deep,Passable to all vehicles
2025/09/06,16:55,Parañaque City,Dr. A. Santos Ave. Corner Canaynay Ave. Brgy. San Dionisio,Gutter Deep,Passable to all vehicles
2025/09/06,15:18,Parañaque City,Dr. A. Santos Ave. in front of SM Sucat,Knee Deep,Not passable to light vehicles
2025/09/06,15:18,Parañaque City,Dr. A. Santos Ave. near Paranaque National Highschool,Gutter Deep,Passable to all vehicles
2025/09/06,15:18,Parañaque City,Dr. A. Santos Ave. Corner Canaynay Ave. Brgy. San Dionisio,Gutter Deep,Passable to all vehicles
2025/09/06,15:18,Manila City,Roxas Blvd Pedro Gil,Subsided,
2025/09/06,15:18,Pasay City,Roxas Edsa Intersection NB,Subsided,
2025/09/06,14:55,Mandaluyong City,EDSA SHAW tunnel NB,Subsided,
2025/09/06,14:55,Parañaque City,Dr. A. Santos ave. in front of SM Sucat,Gutter Deep,Passable to all vehicles
2025/09/06,14:55,Parañaque City,Dr. A. Santos Ave. near Paranaque National Highschool,Gutter Deep,Passable to all vehicles
2025/09/06,14:55,Parañaque City,Dr. A. Santos Ave. Corner Canaynay Ave. Brgy. San Dionisio,Gutter Deep,Passable to all vehicles
2025/09/06,14:55,Manila City,Roxas Blvd Pedro Gil,Gutter Deep,Passable to all vehicles
2025/09/06,14:55,Pasay City,Roxas Edsa Intersection NB,Gutter Deep,Passable to all vehicles
2025/09/06,14:07,Mandaluyong City,EDSA SHAW tunnel NB,Gutter Deep,Passable to all vehicles
2025/09/06,14:07,Parañaque City,Dr. A. Santos ave. in front of SM Sucat,Gutter Deep,Passable to all vehicles
2025/09/06,14:07,Parañaque City,Dr. A. Santos Ave. near Paranaque National Highschool,Gutter Deep,Passable to all vehicles
2025/09/06,14:07,Parañaque City,Dr. A. Santos Ave. Corner Canaynay Ave. Brgy. San Dionisio,Gutter Deep,Passable to all vehicles
2025/09/06,14:07,Manila City,Roxas Blvd Pedro Gil,Gutter Deep,Passable to all vehicles
2025/09/06,14:07,Pasay City,Roxas Edsa Intersection NB,Gutter Deep,Passable to all vehicles
2025/09/06,12:15,Mandaluyong City,EDSA SHAW tunnel NB,Gutter Deep,Passable to all vehicles
2025/09/06,12:15,Parañaque City,Dr. A. Santos Ave. at 4th Estate Brgy. San Antonio,Half Tire Deep,Not passable to light vehicles
2025/09/05,07:20,Manila City,Quirino Station Facing Vito Cruz,Subsided,
2025/09/05,07:20,Manila City,Quirino Station Northbound,Subsided,
2025/09/05,07:20,Manila City,Pedro Gil,Subsided,
2025/09/05,07:20,Manila City,Quirino Station to Taft,Subsided,
2025/09/05,07:20,Mandaluyong City,EDSA Shaw Tunnel NB,Half Gutter Deep,Passable to all vehicles
2025/09/05,05:29,Manila City,Quirino Station Facing Vito Cruz,Gutter Deep,Passable to all vehicles
2025/09/05,05:29,Manila City,Quirino Station Northbound,Gutter Deep,Passable to all vehicles
2025/09/05,05:29,Manila City,Pedro Gil,Gutter Deep,Passable to all vehicles
2025/09/05,05:29,Manila City,Quirino Station to Taft,Gutter Deep,Passable to all vehicles
2025/09/05,05:29,Mandaluyong City,EDSA Shaw Tunnel NB,Gutter Deep,Passable to all vehicles
2025/09/01,21:40,Pasay City,Andrew Tramo Int.,Gutter Deep,Passable to all vehicles
2025/09/01,21:40,Manila City,Roxas Blvd. P. Ocampo,Subsided,
2025/08/30,20:16,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles
