visibility,datetime,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,weather.main,weather.description,city_name,rain.1h
10000.0,2025-06-01 00:00:51+08:00,25.7,26.75,25.05,26.19,1011.0,93.0,1011.0,1013.0,1.03,0.0,,100.0,2025-06-01 05:26:05+08:00,2025-06-01 18:22:07+08:00,Clouds,overcast clouds,Caloocan City,
10000.0,2025-06-01 00:01:09+08:00,25.61,26.65,25.01,26.15,1011.0,93.0,1011.0,1003.0,1.03,0.0,,100.0,2025-06-01 05:25:35+08:00,2025-06-01 18:21:33+08:00,Clouds,overcast clouds,City of Marikina,
10000.0,2025-06-01 00:02:11+08:00,25.68,26.81,24.99,26.13,1011.0,96.0,1011.0,1007.0,1.34,250.0,2.24,100.0,2025-06-01 05:26:22+08:00,2025-06-01 18:21:42+08:00,Clouds,overcast clouds,Las Piñas,
10000.0,2025-06-01 00:00:07+08:00,25.89,27.04,24.93,26.07,1011.0,96.0,1011.0,1010.0,1.34,250.0,2.24,100.0,2025-06-01 05:26:00+08:00,2025-06-01 18:21:41+08:00,Clouds,overcast clouds,Makati City,
10000.0,2025-06-01 00:02:25+08:00,25.92,26.89,25.92,25.92,1011.0,89.0,1011.0,987.0,2.96,151.0,3.52,100.0,2025-06-01 05:28:27+08:00,2025-06-01 18:27:59+08:00,Clouds,overcast clouds,Malabon,
10000.0,2025-06-01 00:00:19+08:00,25.69,26.77,24.94,26.08,1011.0,94.0,1011.0,1010.0,1.03,0.0,,100.0,2025-06-01 05:25:54+08:00,2025-06-01 18:21:42+08:00,Clouds,overcast clouds,Mandaluyong City,
10000.0,2025-05-31 23:58:11+08:00,25.75,26.84,25.03,26.17,1011.0,94.0,1011.0,1014.0,1.03,0.0,,100.0,2025-06-01 05:26:06+08:00,2025-06-01 18:21:59+08:00,Clouds,overcast clouds,Manila,
10000.0,2025-06-01 00:02:48+08:00,25.7,26.75,25.05,26.19,1012.0,93.0,1012.0,1015.0,1.03,0.0,,100.0,2025-06-01 05:26:07+08:00,2025-06-01 18:22:13+08:00,Clouds,overcast clouds,Navotas,
10000.0,2025-06-01 00:03:02+08:00,25.74,26.88,24.96,26.1,1012.0,96.0,1012.0,1009.0,1.34,250.0,2.24,100.0,2025-06-01 05:26:11+08:00,2025-06-01 18:21:37+08:00,Clouds,overcast clouds,Paranaque City,
10000.0,2025-06-01 00:03:04+08:00,25.55,26.62,24.87,26.01,1011.0,94.0,1011.0,1008.0,1.03,0.0,,100.0,2025-06-01 05:25:48+08:00,2025-06-01 18:21:37+08:00,Clouds,overcast clouds,Pasig,
10000.0,2025-06-01 00:03:06+08:00,25.51,26.54,24.86,26.0,1012.0,93.0,1012.0,1009.0,1.03,0.0,,100.0,2025-06-01 05:25:51+08:00,2025-06-01 18:21:49+08:00,Clouds,overcast clouds,Quezon City,
10000.0,2025-06-01 00:03:22+08:00,28.27,35.27,28.27,28.27,1011.0,99.0,1011.0,994.0,3.48,171.0,4.29,100.0,2025-06-01 05:22:35+08:00,2025-06-01 18:29:42+08:00,Clouds,overcast clouds,San Juan,
10000.0,2025-06-01 00:00:10+08:00,25.84,26.96,25.06,26.21,1011.0,95.0,1011.0,1009.0,1.34,250.0,2.24,100.0,2025-06-01 05:25:51+08:00,2025-06-01 18:21:27+08:00,Clouds,overcast clouds,Taguig,
10000.0,2025-06-01 00:04:07+08:00,25.66,26.68,25.02,26.16,1012.0,92.0,1012.0,1012.0,1.82,183.0,2.57,99.0,2025-06-01 05:26:00+08:00,2025-06-01 18:22:13+08:00,Clouds,overcast clouds,Valenzuela,
10000.0,2025-06-01 01:00:55+08:00,26.11,26.11,25.05,26.21,1011.0,91.0,1011.0,1013.0,1.54,160.0,,100.0,2025-06-01 05:26:05+08:00,2025-06-01 18:22:07+08:00,Clouds,overcast clouds,Caloocan City,
10000.0,2025-06-01 01:00:03+08:00,25.7,26.7,25.01,26.16,1011.0,91.0,1011.0,1002.0,1.54,160.0,,100.0,2025-06-01 05:25:35+08:00,2025-06-01 18:21:33+08:00,Clouds,overcast clouds,City of Marikina,
10000.0,2025-06-01 01:02:16+08:00,25.68,26.81,24.99,26.14,1011.0,96.0,1011.0,1007.0,1.54,160.0,,100.0,2025-06-01 05:26:22+08:00,2025-06-01 18:21:42+08:00,Clouds,overcast clouds,Las Piñas,
10000.0,2025-06-01 01:02:32+08:00,25.89,27.02,24.93,26.08,1011.0,95.0,1011.0,1010.0,1.54,160.0,,100.0,2025-06-01 05:26:00+08:00,2025-06-01 18:21:41+08:00,Clouds,overcast clouds,Makati City,
10000.0,2025-06-01 01:02:34+08:00,25.83,26.79,25.83,25.83,1011.0,89.0,1011.0,986.0,3.06,152.0,3.54,100.0,2025-06-01 05:28:27+08:00,2025-06-01 18:27:59+08:00,Clouds,overcast clouds,Malabon,
10000.0,2025-06-01 01:02:39+08:00,25.77,26.8,24.94,26.09,1011.0,92.0,1011.0,1010.0,1.54,160.0,,100.0,2025-06-01 05:25:54+08:00,2025-06-01 18:21:42+08:00,Clouds,overcast clouds,Mandaluyong City,
