Unnamed: 0,City,Location,Flood Type/Depth,Passability,datetime_x,Road_Sector,hour,date,visibility,datetime_y,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,weather.main,weather.description,rain1h
0,Quezon City,EDSA After Quezon Ave. Flyover NB,Gutter Deep,Passable to all vehicles,2025-09-12 15:14:00,EDSA_QC_CENTRAL,15:00:00,2025-09-12,10000.0,2025-09-12 15:02:58+08:00,28.78,32.61,28.78,29.86,1009.0,72.0,1009.0,1006.0,1.3,337.0,1.08,100.0,2025-09-12 05:44:32+08:00,2025-09-12 18:00:17+08:00,Rain,heavy intensity rain,7.49
1,Quezon City,EDSA Quezon Ave. service road NB,Gutter Deep,Passable to all vehicles,2025-09-12 15:14:00,EDSA_QC_CENTRAL,15:00:00,2025-09-12,10000.0,2025-09-12 15:02:58+08:00,28.78,32.61,28.78,29.86,1009.0,72.0,1009.0,1006.0,1.3,337.0,1.08,100.0,2025-09-12 05:44:32+08:00,2025-09-12 18:00:17+08:00,Rain,heavy intensity rain,7.49
2,Quezon City,EDSA Aurora Tunnel NB,Subsided,Passable to all vehicles,2025-09-12 14:54:00,EDSA_QC_BOUNDARY,14:00:00,2025-09-12,9000.0,2025-09-12 14:03:04+08:00,29.79,35.0,29.28,31.56,1009.0,72.0,1009.0,1006.0,3.09,280.0,,75.0,2025-09-12 05:44:32+08:00,2025-09-12 18:00:17+08:00,Rain,light rain,0.74
3,Quezon City,EDSA before Kamuning flyover SB,Subsided,Passable to all vehicles,2025-09-12 14:55:00,EDSA_QC_SOUTH,14:00:00,2025-09-12,9000.0,2025-09-12 14:03:04+08:00,29.79,35.0,29.28,31.56,1009.0,72.0,1009.0,1006.0,3.09,280.0,,75.0,2025-09-12 05:44:32+08:00,2025-09-12 18:00:17+08:00,Rain,light rain,0.74
4,Quezon City,EDSA After Quezon Ave. Flyover NB,Gutter Deep,Passable to all vehicles,2025-09-12 14:50:00,EDSA_QC_CENTRAL,14:00:00,2025-09-12,9000.0,2025-09-12 14:03:04+08:00,29.79,35.0,29.28,31.56,1009.0,72.0,1009.0,1006.0,3.09,280.0,,75.0,2025-09-12 05:44:32+08:00,2025-09-12 18:00:17+08:00,Rain,light rain,0.74
5,Quezon City,EDSA Aurora Tunnel NB,Gutter Deep,Passable to all vehicles,2025-09-12 14:50:00,EDSA_QC_BOUNDARY,14:00:00,2025-09-12,9000.0,2025-09-12 14:03:04+08:00,29.79,35.0,29.28,31.56,1009.0,72.0,1009.0,1006.0,3.09,280.0,,75.0,2025-09-12 05:44:32+08:00,2025-09-12 18:00:17+08:00,Rain,light rain,0.74
6,Valenzuela City,Mc Arthur Highway Calle Uno NB,Subsided,Passable to all vehicles,2025-09-11 17:25:00,MACARTHUR HIGHWAY,17:00:00,2025-09-11,10000.0,2025-09-11 17:04:04+08:00,29.15,36.15,28.99,29.49,1009.0,87.0,1009.0,1009.0,1.66,250.0,1.81,100.0,2025-09-11 05:44:44+08:00,2025-09-11 18:01:20+08:00,Clouds,overcast clouds,
7,Quezon City,EDSA Balintawak NB,Subsided,Passable to all vehicles,2025-09-11 16:51:00,EDSA_CALOOCAN,16:00:00,2025-09-11,10000.0,2025-09-11 16:00:05+08:00,29.93,35.85,29.28,31.83,1008.0,74.0,1008.0,1005.0,3.09,120.0,,75.0,2025-09-11 05:44:29+08:00,2025-09-11 18:01:03+08:00,Clouds,broken clouds,
8,Quezon City,EDSA Oliveros NB,Subsided,Passable to all vehicles,2025-09-11 16:47:00,EDSA_QC_NORTH,16:00:00,2025-09-11,10000.0,2025-09-11 16:00:05+08:00,29.93,35.85,29.28,31.83,1008.0,74.0,1008.0,1005.0,3.09,120.0,,75.0,2025-09-11 05:44:29+08:00,2025-09-11 18:01:03+08:00,Clouds,broken clouds,
9,Quezon City,EDSA North Ave. NB,Subsided,Passable to all vehicles,2025-09-11 17:19:00,EDSA_QC_NORTH,17:00:00,2025-09-11,9000.0,2025-09-11 17:02:59+08:00,28.99,33.47,28.83,29.33,1008.0,74.0,1008.0,1006.0,4.12,360.0,,75.0,2025-09-11 05:44:29+08:00,2025-09-11 18:01:03+08:00,Clouds,broken clouds,
10,Quezon City,EDSA After Quezon Ave. Flyover NB,Subsided,Passable to all vehicles,2025-09-11 17:24:00,EDSA_QC_CENTRAL,17:00:00,2025-09-11,9000.0,2025-09-11 17:02:59+08:00,28.99,33.47,28.83,29.33,1008.0,74.0,1008.0,1006.0,4.12,360.0,,75.0,2025-09-11 05:44:29+08:00,2025-09-11 18:01:03+08:00,Clouds,broken clouds,
